"V10","V38","V41","V42","V44","V50","V51","V53","V54","V57","V78","V80","V92","V158","V159","V160","V180","V370","V382","V449","V451","V504","V519","V538","V558","V559","V560","ydata"
-0.803813504514186,0.410601637508177,0.922453581175829,-0.336887384465616,-0.997912603011208,0.851650133975058,-0.359367885876319,0.945067730670471,-0.310979305539906,0.794160845238416,0.89616296821349,-0.153253397466121,-0.994580535422002,-0.26388128824486,-0.341491615933626,-0.536944524314875,-0.990721269544633,-0.28,-0.999989962397788,-0.933333333333333,-0.935483870967742,-0.99512258481372,-0.995045313621716,-1,0.756976673839383,-0.682348914891296,0.317891987561076,5
-0.797068816622043,0.775378388920443,0.925687712742978,-0.331294619806552,-0.953306749093877,0.879900294494866,-0.338058465188193,0.938577801417466,-0.317129245031746,0.802610805483275,0.805706635709867,-0.10516612018752,-0.989327584580077,0.582305756044216,-0.607643686088249,-0.943937944286686,-0.983185169573068,-0.16,-0.999977926709277,-1,-1,-0.949586540533342,-0.992608006195091,-1,0.0223223078713721,-0.688196447239684,0.313830211311971,5
-0.803927424550102,-0.107446825307081,0.949763385406019,-0.25709930660897,-0.998699949140895,0.878616801379628,-0.28157046778129,0.972710401122618,-0.232975860188492,0.864835281080276,0.974191287188234,0.632592083662359,-0.991674446179513,0.111467452399151,-0.218041712152535,-0.655945935595571,-0.99770741694385,-0.28,-0.999991064759551,-0.533333333333333,-1,-0.998421186465142,-0.991388956312101,-1,-0.0875238693186458,-0.762042551348212,0.262482786049689,5
-0.802536649070281,-0.0126962820469728,0.963214821975959,-0.136648003049549,-0.997917615564628,0.892060314467637,-0.161427509820511,0.984520140617399,-0.113205335943401,0.900148082387836,-0.831277748721681,0.974385308217974,-0.9922573517045,0.0481160790826671,-0.255938137838575,0.171041394491809,-0.990656524914563,-0.32,-0.99999643311348,-1,-1,-0.981460310072524,-0.994902400378657,-0.948717948717949,0.703510587802598,-0.845092398881475,0.180261109628442,5
-0.798114601621761,0.27685482390203,0.919217214782693,-0.342991161897039,-0.998871908693322,0.848517338143214,-0.364326787010641,0.943149075697325,-0.316475643696958,0.785875746159433,0.969625269987341,-0.402946962101055,-0.993915108165349,-0.329743405329189,0.0379012412132933,-0.391410036807928,-0.995684276846634,0.2,-0.999997415021606,-0.866666666666667,-1,-0.996120737648064,-0.995458393137823,-0.846153846153846,0.073735000589279,-0.673361804085961,0.322078176066778,5
-0.795246105201692,0.379792946142219,0.925033193551848,-0.330946337918869,-0.989933361908337,0.857030512354897,-0.346202400483905,0.945013472788747,-0.313002096177892,0.800785088458098,0.999073903008522,0.265585804904637,-0.992551292478952,-0.227546272396791,0.614397918931434,-0.361734270052816,-0.98847904552373,-0.16,-0.999972996446681,-1,-1,-0.978865457662052,-0.986976473708761,-0.948717948717949,0.590699401397069,-0.688556081325542,0.313714113210907,5
-0.801981533541285,-0.209111478320888,0.964601514046376,-0.143285213251462,-0.999178924700738,0.893683437570289,-0.167054797593664,0.987721834619908,-0.120135054369177,0.903806965999655,-0.563936958228938,0.443090409982492,-0.992649342169624,-0.447674770082205,0.645404602119717,-0.744550020044105,-0.993648171557214,-0.32,-0.999987854315876,-0.933333333333333,-0.935483870967742,-0.996145383705991,-0.994898687898687,-1,-0.3682240426057,-0.849926864679864,0.184795018952772,5
-0.798477172963958,-0.123889415290502,0.963531710786325,-0.137105091921928,-0.999657276284975,0.892400564757394,-0.163795930557839,0.986770097370141,-0.113205335943401,0.900983639475569,-0.181064755417185,0.643412697468541,-0.9922573517045,-0.00884584201911276,0.0441030369236599,-0.349123025317419,-0.987045335821483,-0.16,-0.999993634170587,-1,-1,-0.991405163866987,-0.993592121266278,-0.794871794871795,0.808529075225196,-0.849230131210737,0.180609557836632,5
-0.794020348431631,0.150184936505847,0.920981199968822,-0.339159249808622,-0.9953490065868,0.851649391478528,-0.359367885876319,0.943751742966915,-0.314244095882429,0.790390530588796,0.995294009460295,0.688325509252345,-0.994580535422002,-0.299960841471748,-0.278767058488936,0.0454854645678282,-0.991088459807322,-0.24,-0.999987293565356,-0.866666666666667,-0.806451612903226,-0.993420719885649,-0.994686279032272,-1,0.69786659516806,-0.679924708673775,0.319565603083363,5
-0.80210663007463,-0.0327826633889615,0.919835639829756,-0.340528690450628,-0.999459460028857,0.848701430815424,-0.364074428264613,0.943897005453458,-0.312754516045319,0.787457307197069,0.92738141393626,-0.377797539142116,-0.998819283541949,0.0392657727811621,-0.38253873751373,-0.30836003869332,-0.997817983248488,-0.24,-0.999995107978468,-1,-0.935483870967742,-0.998533350354764,-0.996172516752304,-0.897435897435897,-0.405318783169618,-0.675251050846101,0.320372555725712,5
-0.802881160883836,0.0675585533250207,0.920014509536694,-0.339590760339758,-0.999236033327949,0.849178731862397,-0.361452114907617,0.943974365827207,-0.312399006863103,0.787914927740194,0.742760294707563,0.90536890564176,-0.994268637410323,-0.345127261393628,-0.0951870355614047,-0.374977479565925,-0.995923079041419,-0.24,-0.999992224432304,-0.866666666666667,-1,-0.997987157660816,-0.997904243541455,-0.948717948717949,-0.189834329081807,-0.67614504069129,0.319745556924389,5
